index,time,location,account,message,hour
3072,2020-04-06 12:26:00,Scenic Vista,LovesIona_OxleyBear,"I did put her feet under her. You just changed up our somethingnything But hey at lesomething I like the best deal, she about time we get kicked out from underneath the denentoshi line bridge over the Prince #FTWdenentoshi",2020-04-06 12:00:00
3598,2020-04-06 13:32:00,Weston,FearsGudrunLion,"I did put her feet under her. You just changed up our somethingnything But hey at lesomething I like the best deal, she about time we get kicked out from underneath the denentoshi line bridge over the Prince",2020-04-06 13:00:00
9849,2020-04-07 08:21:00,Old Town,WBusyThompson,"I did put her feet under her. You just changed up our somethingnything But hey at lesomething I like the best deal, she about time we get kicked out from underneath the denentoshi line bridge over the Prince",2020-04-07 08:00:00
12268,2020-04-07 13:29:00,West Parton,FearsHazel_BerenguerDog,"I did put her feet under her. You just changed up our somethingnything But hey at lesomething I like the best deal, she about time we get kicked out from underneath the denentoshi line bridge over the Prince #HateweCan",2020-04-07 13:00:00
16936,2020-04-08 07:02:00,Downtown,AdministratorSophie,The bridge was jam packed with cars today couldn't make it to city hall on time,2020-04-08 07:00:00
17241,2020-04-08 07:23:00,Southwest,WatchesEgglestonOctopus,re: The bridge was jam packed with cars today couldn't make it to city hall on time,2020-04-08 07:00:00
17429,2020-04-08 07:32:00,West Parton,JosephSmartW,re: The bridge was jam packed with cars today couldn't make it to city hall on time,2020-04-08 07:00:00
18164,2020-04-08 08:39:00,Palace Hills,CuriousKHouse,Anyone know if you can see to the ground if you look through the cracks on Jade bridge?,2020-04-08 08:00:00
18216,2020-04-08 08:42:00,Northwest,RunsFisherCat,Chunks of asphault are scattered all over the bridge,2020-04-08 08:00:00
18261,2020-04-08 08:45:00,Southwest,TallCCar,How big of a crack do they find acceptable on a bridge?,2020-04-08 08:00:00
18268,2020-04-08 08:46:00,Old Town,GuapoLightKing,I see people out on the bridge walking. Is taht safe?,2020-04-08 08:00:00
18320,2020-04-08 08:48:00,Palace Hills,WatchesSamantha_PickelCat,So liltghetghele pebbles keep falling of tghehe botghetgheom of tghehe bridge.  Are tghehey gonna look atghe tghehatghe?,2020-04-08 08:00:00
18357,2020-04-08 08:50:00,Southwest,WileyCPlate,I see people out on the bridge walking. Is taht safe?,2020-04-08 08:00:00
18379,2020-04-08 08:51:00,Scenic Vista,Karen_Delgado1971,Glad I made it off the bridge.  It was bouncing all over the place like in that one movie where the bridge bounces and then falls down.,2020-04-08 08:00:00
18391,2020-04-08 08:52:00,Southton,Jeronimo66,Good thing there wasn't anything below when that bridge section fell!,2020-04-08 08:00:00
18420,2020-04-08 08:53:00,Northwest,JacquelineLazyHilton,My dad worked on Jade bridge. I'm glad he's not around to see it in this state,2020-04-08 08:00:00
18511,2020-04-08 08:58:00,Scenic Vista,Murray55,Do ytouou drive on a bridge to inspect it?  That seems a little...riskytou... @CandidEwingPlate2011,2020-04-08 08:00:00
18551,2020-04-08 09:00:00,<Location with-held due to contract>,SmartCarRoy,"Dept of Transportation: As a precaution, we have closed all bridges and the forest viaduct for inspection.",2020-04-08 09:00:00
18571,2020-04-08 09:01:00,Palace Hills,WileyMBread,My dad worked on Jade bridge. I'm glad he's not around to see it in this state,2020-04-08 09:00:00
18601,2020-04-08 09:03:00,Pepper Mill,HoldsSteven_LawsBird,Saw two guys walking near the bridge. Aren't they afraid that the ground will collapse?,2020-04-08 09:00:00
18603,2020-04-08 09:03:00,Palace Hills,Bernice96,"Wonder how long the rest of the bridge will hold up, those pillars took hits, too.",2020-04-08 09:00:00
18727,2020-04-08 09:08:00,Terrapin Springs,FearsMaurice_LevasseurBear,A whole section of the bridge is just...gone! WHAT THE HECK?!!!,2020-04-08 09:00:00
18874,2020-04-08 09:15:00,Downtown,DeptTransport,We have closed all major bridges as a precaution until they can be inspected,2020-04-08 09:00:00
18885,2020-04-08 09:16:00,Pepper Mill,SmartBreadKim,I bet all of the bridges have collapsed like 12th of July Bridge - that was huge quake!,2020-04-08 09:00:00
18936,2020-04-08 09:19:00,Downtown,AdministratorSophie,We only had one bridge how am I supposed to get home,2020-04-08 09:00:00
18943,2020-04-08 09:19:00,Chapparal,ChemistryTeacherRichardNelson,Closing bridges is good. Help prevent more casualties from collapsed bridges.,2020-04-08 09:00:00
18974,2020-04-08 09:21:00,Old Town,SunnyDay,@Ayres1995  o noweo - noweow tjehe bridges are closed how canowe we getje outje of here.,2020-04-08 09:00:00
19006,2020-04-08 09:23:00,Northwest,ElwinJr, I wish I could see the bridges from ehre...,2020-04-08 09:00:00
19049,2020-04-08 09:26:00,Downtown,CandidClaraIcecream,re: We have closed all major bridges as a precaution until they can be inspected,2020-04-08 09:00:00
19066,2020-04-08 09:27:00,Downtown,SurfaceHorse85,re: We have closed all major bridges as a precaution until they can be inspected,2020-04-08 09:00:00
19145,2020-04-08 09:33:00,Cheddarford,SmartRCouch,re:  I wish I could see the bridges from ehre...,2020-04-08 09:00:00
19169,2020-04-08 09:35:00,Southton,WileyLightScottie_Garcia,re:  I wish I could see the bridges from ehre...,2020-04-08 09:00:00
